WEIGHTED DIGRAPH 198 378:
  0 -->  48 ( 24)
  0 -->  49 (  6)
  0 -->  54 ( 21)
  0 -->  66 ( 25)
  0 --> 123 ( 19)
  1 --> 181 ( 29)
  2 -->  37 ( 27)
  3 -->   7 ( 33)
  4 --> 112 ( 27)
  5 -->  32 ( 20)
  6 -->  22 ( 35)
  7 --> 187 ( 16)
  8 --> 164 ( 20)
  9 --> 154 ( 29)
 10 -->  47 ( 25)
 10 --> 146 ( 18)
 10 --> 153 ( 32)
 10 --> 177 ( 25)
 10 --> 184 ( 36)
 11 -->  26 ( 26)
 12 --> 128 ( 14)
 13 --> 102 ( 11)
 14 -->  89 ( 25)
 15 -->  20 ( 29)
 16 --> 137 ( 13)
 17 -->  69 ( 16)
 18 --> 147 ( 27)
 19 --> 188 ( 29)
 20 --> 139 ( 26)
 21 -->  90 ( 22)
 22 --> 190 ( 30)
 23 --> 143 ( 19)
 24 -->  25 ( 35)
 25 -->  75 ( 22)
 26 --> 105 ( 14)
 27 --> 155 ( 30)
 28 -->  55 ( 33)
 29 --> 191 ( 24)
 30 -->  11 ( 22)
 31 --> 193 ( 20)
 32 -->   9 ( 10)
 33 --> 131 ( 13)
 34 -->  54 ( 32)
 34 -->  62 ( 37)
 34 --> 149 ( 18)
 34 --> 153 ( 26)
 34 --> 158 ( 25)
 35 -->   8 ( 30)
 36 -->  97 ( 15)
 37 --> 175 ( 20)
 38 -->  43 ( 32)
 39 --> 106 ( 39)
 40 --> 129 ( 21)
 41 --> 167 ( 27)
 42 --> 178 ( 22)
 43 -->  23 ( 22)
 44 --> 117 ( 12)
 45 --> 138 ( 29)
 46 -->  13 ( 31)
 46 -->  34 ( 19)
 46 --> 158 ( 20)
 47 --> 138 ( 32)
 47 --> 170 ( 40)
 47 --> 180 ( 14)
 48 -->   2 ( 23)
 48 -->  90 ( 33)
 48 --> 123 ( 28)
 49 -->  47 ( 14)
 49 -->  87 ( 25)
 49 -->  94 ( 22)
 49 --> 108 ( 25)
 49 --> 135 ( 28)
 49 --> 162 ( 25)
 49 --> 177 ( 22)
 49 --> 184 ( 18)
 49 --> 192 ( 20)
 50 --> 103 ( 21)
 51 -->  18 ( 38)
 52 -->  61 ( 29)
 53 -->   0 (  7)
 53 -->  76 ( 30)
 53 -->  90 ( 26)
 53 --> 108 ( 35)
 53 --> 158 ( 30)
 53 --> 172 ( 25)
 54 -->  10 ( 30)
 54 -->  67 ( 21)
 54 -->  90 ( 29)
 54 --> 108 ( 16)
 54 --> 158 ( 34)
 54 --> 192 ( 28)
 55 -->  46 (  6)
 56 -->  49 ( 23)
 56 -->  63 ( 40)
 56 --> 133 ( 26)
 56 --> 182 ( 26)
 56 --> 192 ( 18)
 57 --> 128 ( 22)
 58 -->  52 ( 27)
 59 --> 144 ( 28)
 60 -->  47 ( 27)
 60 -->  62 ( 27)
 60 -->  87 ( 30)
 60 --> 109 ( 27)
 60 --> 184 ( 29)
 60 --> 186 ( 23)
 61 -->  33 ( 18)
 62 -->  10 ( 17)
 62 -->  98 ( 37)
 63 --> 138 ( 36)
 63 --> 170 ( 26)
 64 --> 128 ( 28)
 64 --> 138 (  5)
 65 -->  35 ( 20)
 66 -->  34 ( 39)
 67 --> 109 ( 26)
 67 --> 172 ( 39)
 68 -->  74 ( 15)
 69 -->  46 ( 31)
 69 -->  53 ( 33)
 69 -->  67 ( 29)
 69 -->  90 ( 36)
 69 --> 109 ( 22)
 69 --> 122 ( 17)
 70 -->  49 ( 13)
 70 --> 109 ( 40)
 70 --> 127 ( 26)
 70 --> 133 ( 23)
 71 --> 166 ( 15)
 72 -->  38 ( 31)
 73 --> 100 ( 26)
 74 -->  95 ( 31)
 75 --> 159 ( 24)
 76 -->  62 ( 20)
 76 -->  70 ( 26)
 78 -->   0 ( 27)
 78 -->  46 ( 32)
 78 -->  53 ( 32)
 78 --> 135 ( 17)
 79 -->  46 ( 23)
 79 --> 116 ( 24)
 79 --> 186 ( 19)
 79 --> 197 (  9)
 80 -->  65 ( 31)
 81 -->  68 ( 15)
 82 -->  19 ( 14)
 83 --> 130 ( 36)
 84 -->  45 ( 28)
 85 -->   6 ( 22)
 86 -->  83 ( 41)
 87 -->  47 ( 13)
 87 -->  69 ( 28)
 87 --> 126 ( 35)
 87 --> 127 ( 24)
 87 --> 134 ( 17)
 87 --> 184 ( 40)
 88 -->  31 ( 26)
 89 -->  41 ( 38)
 90 -->  39 ( 18)
 90 -->  63 ( 31)
 90 -->  76 ( 11)
 90 -->  78 ( 17)
 90 --> 140 ( 39)
 90 --> 142 ( 28)
 90 --> 168 ( 35)
 90 --> 180 ( 33)
 91 -->  59 ( 24)
 92 -->  48 ( 35)
 92 -->  54 ( 18)
 92 -->  87 ( 23)
 93 -->  73 ( 26)
 94 -->  48 ( 25)
 94 --> 116 ( 30)
 94 --> 149 ( 32)
 94 --> 168 ( 35)
 95 --> 107 ( 18)
 96 -->  48 ( 29)
 97 --> 189 ( 28)
 98 -->   0 ( 20)
